learning rate = 0.75

Training . . . 
Episodes: 208, score: 0.0, survived: 200.0, eps: 0.8473289615720281
Episodes: 209, score: 0.0, survived: 256.0, eps: 0.8466510984027704
Episodes: 210, score: 1.0, survived: 672.0, eps: 0.8459737775240482
Episodes: 211, score: 1.0, survived: 214.0, eps: 0.845296998502029
Episodes: 212, score: 1.0, survived: 281.0, eps: 0.8446207609032274
Episodes: 213, score: 1.0, survived: 275.0, eps: 0.8439450642945048
Episodes: 214, score: 1.0, survived: 208.0, eps: 0.8432699082430691
Episodes: 215, score: 1.0, survived: 212.0, eps: 0.8425952923164747
Episodes: 216, score: 0.0, survived: 799.0, eps: 0.8419212160826215
Episodes: 217, score: 1.0, survived: 162.0, eps: 0.8412476791097554
Episodes: 218, score: 1.0, survived: 439.0, eps: 0.8405746809664676
Episodes: 219, score: 0.0, survived: 256.0, eps: 0.8399022212216944
Episodes: 220, score: 0.0, survived: 121.0, eps: 0.839230299444717
Episodes: 221, score: 1.0, survived: 307.0, eps: 0.8385589152051612
Episodes: 222, score: 1.0, survived: 411.0, eps: 0.8378880680729971
Episodes: 223, score: 0.0, survived: 156.0, eps: 0.8372177576185387
Episodes: 224, score: 0.0, survived: 251.0, eps: 0.8365479834124439
Episodes: 225, score: 1.0, survived: 86.0, eps: 0.8358787450257139
Episodes: 226, score: 2.0, survived: 351.0, eps: 0.8352100420296933
Episodes: 227, score: 1.0, survived: 483.0, eps: 0.8345418739960695
Episodes: 228, score: 1.0, survived: 288.0, eps: 0.8338742404968726
Episodes: 229, score: 1.0, survived: 423.0, eps: 0.8332071411044751
Episodes: 230, score: 1.0, survived: 337.0, eps: 0.8325405753915915
Episodes: 231, score: 1.0, survived: 232.0, eps: 0.8318745429312783
Episodes: 232, score: 1.0, survived: 326.0, eps: 0.8312090432969332
Episodes: 233, score: 1.0, survived: 282.0, eps: 0.8305440760622956
Episodes: 234, score: 1.0, survived: 423.0, eps: 0.8298796408014458
Episodes: 235, score: 1.0, survived: 172.0, eps: 0.8292157370888047
Episodes: 236, score: 1.0, survived: 245.0, eps: 0.8285523644991336
Episodes: 237, score: 0.0, survived: 157.0, eps: 0.8278895226075342
Episodes: 238, score: 0.0, survived: 56.0, eps: 0.8272272109894482
Episodes: 239, score: 2.0, survived: 440.0, eps: 0.8265654292206566
