Training . . . 
Episodes: 150, score: 1.0, survived: 703.0, eps: 0.8875879131707407
Episodes: 151, score: 1.0, survived: 224.0, eps: 0.8868778428402041
Episodes: 152, score: 1.0, survived: 310.0, eps: 0.886168340565932
Episodes: 153, score: 1.0, survived: 212.0, eps: 0.8854594058934792
Episodes: 154, score: 1.0, survived: 666.0, eps: 0.8847510383687643
Episodes: 155, score: 1.0, survived: 488.0, eps: 0.8840432375380693
Episodes: 156, score: 1.0, survived: 548.0, eps: 0.8833360029480388
Episodes: 157, score: 1.0, survived: 652.0, eps: 0.8826293341456803
Episodes: 158, score: 0.0, survived: 1001.0, eps: 0.8819232306783638
Episodes: 159, score: 1.0, survived: 371.0, eps: 0.8812176920938211
Episodes: 160, score: 0.0, survived: 735.0, eps: 0.880512717940146
Episodes: 161, score: 1.0, survived: 1197.0, eps: 0.8798083077657938
Episodes: 162, score: 1.0, survived: 708.0, eps: 0.8791044611195811
Episodes: 163, score: 1.0, survived: 371.0, eps: 0.8784011775506854
Episodes: 164, score: 0.0, survived: 1001.0, eps: 0.8776984566086448
Episodes: 165, score: 1.0, survived: 466.0, eps: 0.8769962978433579
Episodes: 166, score: 1.0, survived: 263.0, eps: 0.8762947008050832
Episodes: 167, score: 1.0, survived: 508.0, eps: 0.8755936650444391
Episodes: 168, score: 1.0, survived: 686.0, eps: 0.8748931901124035
Episodes: 169, score: 0.0, survived: 224.0, eps: 0.8741932755603136
Episodes: 170, score: 1.0, survived: 591.0, eps: 0.8734939209398653
Episodes: 171, score: 0.0, survived: 1001.0, eps: 0.8727951258031135
Episodes: 172, score: 1.0, survived: 333.0, eps: 0.872096889702471
Episodes: 173, score: 1.0, survived: 333.0, eps: 0.871399212190709
Episodes: 174, score: 1.0, survived: 686.0, eps: 0.8707020928209565
Episodes: 175, score: 1.0, survived: 1146.0, eps: 0.8700055311466997
Episodes: 176, score: 0.0, survived: 213.0, eps: 0.8693095267217823
Episodes: 177, score: 0.0, survived: 143.0, eps: 0.8686140791004049
Episodes: 178, score: 1.0, survived: 476.0, eps: 0.8679191878371245
Episodes: 179, score: 0.0, survived: 310.0, eps: 0.8672248524868548
Episodes: 180, score: 1.0, survived: 452.0, eps: 0.8665310726048653
Episodes: 181, score: 1.0, survived: 363.0, eps: 0.8658378477467814
Episodes: 182, score: 1.0, survived: 286.0, eps: 0.865145177468584
Episodes: 183, score: 0.0, survived: 461.0, eps: 0.8644530613266092
Episodes: 184, score: 1.0, survived: 316.0, eps: 0.8637614988775478
Episodes: 185, score: 0.0, survived: 358.0, eps: 0.8630704896784458
Episodes: 186, score: 1.0, survived: 213.0, eps: 0.862380033286703
Episodes: 187, score: 0.0, survived: 108.0, eps: 0.8616901292600736
Episodes: 188, score: 0.0, survived: 213.0, eps: 0.8610007771566656
Episodes: 189, score: 1.0, survived: 118.0, eps: 0.8603119765349402
Episodes: 190, score: 1.0, survived: 305.0, eps: 0.8596237269537123
Episodes: 191, score: 0.0, survived: 155.0, eps: 0.8589360279721493
Episodes: 192, score: 1.0, survived: 588.0, eps: 0.8582488791497715
Episodes: 193, score: 1.0, survived: 342.0, eps: 0.8575622800464517
Episodes: 194, score: 1.0, survived: 372.0, eps: 0.8568762302224145
Episodes: 195, score: 0.0, survived: 174.0, eps: 0.8561907292382366
Episodes: 196, score: 1.0, survived: 364.0, eps: 0.855505776654846
Episodes: 197, score: 1.0, survived: 368.0, eps: 0.854821372033522
Episodes: 198, score: 1.0, survived: 474.0, eps: 0.8541375149358952
Episodes: 199, score: 1.0, survived: 88.0, eps: 0.8534542049239464
Episodes: 200, score: 0.0, survived: 380.0, eps: 0.8527714415600073
Episodes: 201, score: 0.0, survived: 234.0, eps: 0.8520892244067593
Episodes: 202, score: 1.0, survived: 277.0, eps: 0.8514075530272338
Episodes: 203, score: 1.0, survived: 451.0, eps: 0.850726426984812
Episodes: 204, score: 1.0, survived: 932.0, eps: 0.8500458458432242
Episodes: 205, score: 0.0, survived: 244.0, eps: 0.8493658091665496
Episodes: 206, score: 1.0, survived: 241.0, eps: 0.8486863165192163
Episodes: 207, score: 0.0, survived: 239.0, eps: 0.8480073674660009
Episodes: 208, score: 1.0, survived: 709.0, eps: 0.8473289615720281
Episodes: 209, score: 1.0, survived: 503.0, eps: 0.8466510984027704
Episodes: 210, score: 0.0, survived: 340.0, eps: 0.8459737775240482
Episodes: 211, score: 1.0, survived: 392.0, eps: 0.845296998502029
Episodes: 212, score: 1.0, survived: 324.0, eps: 0.8446207609032274
Episodes: 213, score: 1.0, survived: 212.0, eps: 0.8439450642945048
Episodes: 214, score: 1.0, survived: 281.0, eps: 0.8432699082430691
Episodes: 215, score: 1.0, survived: 275.0, eps: 0.8425952923164747
Episodes: 216, score: 1.0, survived: 122.0, eps: 0.8419212160826215
Episodes: 217, score: 0.0, survived: 635.0, eps: 0.8412476791097554
Episodes: 218, score: 1.0, survived: 176.0, eps: 0.8405746809664676
Episodes: 219, score: 1.0, survived: 216.0, eps: 0.8399022212216944
Episodes: 220, score: 1.0, survived: 354.0, eps: 0.839230299444717
Episodes: 221, score: 1.0, survived: 1190.0, eps: 0.8385589152051612
Episodes: 222, score: 1.0, survived: 1131.0, eps: 0.8378880680729971
Episodes: 223, score: 0.0, survived: 199.0, eps: 0.8372177576185387
Episodes: 224, score: 1.0, survived: 468.0, eps: 0.8365479834124439
Episodes: 225, score: 1.0, survived: 426.0, eps: 0.8358787450257139
Episodes: 226, score: 1.0, survived: 627.0, eps: 0.8352100420296933
Episodes: 227, score: 1.0, survived: 416.0, eps: 0.8345418739960695
Episodes: 228, score: 0.0, survived: 173.0, eps: 0.8338742404968726
Episodes: 229, score: 1.0, survived: 545.0, eps: 0.8332071411044751
Episodes: 230, score: 1.0, survived: 226.0, eps: 0.8325405753915915
Episodes: 231, score: 1.0, survived: 334.0, eps: 0.8318745429312783
Episodes: 232, score: 0.0, survived: 1001.0, eps: 0.8312090432969332
Episodes: 233, score: 1.0, survived: 235.0, eps: 0.8305440760622956
Episodes: 234, score: 1.0, survived: 399.0, eps: 0.8298796408014458
Episodes: 235, score: 1.0, survived: 349.0, eps: 0.8292157370888047
Episodes: 236, score: 1.0, survived: 416.0, eps: 0.8285523644991336
Episodes: 237, score: 0.0, survived: 215.0, eps: 0.8278895226075342
Episodes: 238, score: 0.0, survived: 454.0, eps: 0.8272272109894482
Episodes: 239, score: 1.0, survived: 385.0, eps: 0.8265654292206566
Episodes: 240, score: 1.0, survived: 70.0, eps: 0.82590417687728
Episodes: 241, score: 1.0, survived: 180.0, eps: 0.8252434535357782
Episodes: 242, score: 2.0, survived: 567.0, eps: 0.8245832587729496
Episodes: 243, score: 0.0, survived: 226.0, eps: 0.8239235921659313
Episodes: 244, score: 0.0, survived: 181.0, eps: 0.8232644532921984
Episodes: 245, score: 1.0, survived: 815.0, eps: 0.8226058417295646
Episodes: 246, score: 0.0, survived: 107.0, eps: 0.821947757056181
Episodes: 247, score: 1.0, survived: 121.0, eps: 0.821290198850536
Episodes: 248, score: 1.0, survived: 366.0, eps: 0.8206331666914556
Episodes: 249, score: 1.0, survived: 131.0, eps: 0.8199766601581024
Episodes: 250, score: 1.0, survived: 254.0, eps: 0.819320678829976
Episodes: 251, score: 0.0, survived: 92.0, eps: 0.818665222286912
Episodes: 252, score: 0.0, survived: 244.0, eps: 0.8180102901090824
Episodes: 253, score: 1.0, survived: 247.0, eps: 0.8173558818769951
Episodes: 254, score: 1.0, survived: 157.0, eps: 0.8167019971714935
Episodes: 255, score: 1.0, survived: 152.0, eps: 0.8160486355737563
Episodes: 256, score: 0.0, survived: 133.0, eps: 0.8153957966652973
Episodes: 257, score: 0.0, survived: 114.0, eps: 0.814743480027965
Episodes: 258, score: 1.0, survived: 269.0, eps: 0.8140916852439426
Episodes: 259, score: 1.0, survived: 116.0, eps: 0.8134404118957475
Episodes: 260, score: 0.0, survived: 108.0, eps: 0.8127896595662308
Episodes: 261, score: 1.0, survived: 555.0, eps: 0.8121394278385778
Episodes: 262, score: 1.0, survived: 212.0, eps: 0.811489716296307
Episodes: 263, score: 0.0, survived: 86.0, eps: 0.8108405245232699
Episodes: 264, score: 1.0, survived: 149.0, eps: 0.8101918521036513
Episodes: 265, score: 1.0, survived: 460.0, eps: 0.8095436986219684
Episodes: 266, score: 1.0, survived: 143.0, eps: 0.8088960636630708
Episodes: 267, score: 1.0, survived: 136.0, eps: 0.8082489468121403
Episodes: 268, score: 1.0, survived: 665.0, eps: 0.8076023476546906
Episodes: 269, score: 1.0, survived: 156.0, eps: 0.8069562657765669
Episodes: 270, score: 1.0, survived: 122.0, eps: 0.8063107007639456
Episodes: 271, score: 1.0, survived: 115.0, eps: 0.8056656522033344
Episodes: 272, score: 1.0, survived: 427.0, eps: 0.8050211196815718
Episodes: 273, score: 1.0, survived: 217.0, eps: 0.8043771027858265
Episodes: 274, score: 1.0, survived: 401.0, eps: 0.8037336011035978
Episodes: 275, score: 1.0, survived: 275.0, eps: 0.8030906142227149
