Starting Training
Epoch: 134/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 135/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 136/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 137/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 138/3000, Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 139/3000, Score: 26, Tetrominoes 18, Cleared lines: 1
Epoch: 140/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 141/3000, Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 142/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 143/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 144/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 145/3000, Score: 21, Tetrominoes 23, Cleared lines: 0
Epoch: 146/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 147/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 148/3000, Score: 11, Tetrominoes 13, Cleared lines: 0
Epoch: 149/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 150/3000, Score: 10, Tetrominoes 12, Cleared lines: 0
Epoch: 151/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 152/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 153/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 154/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 155/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 156/3000, Score: 11, Tetrominoes 13, Cleared lines: 0
Epoch: 157/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 158/3000, Score: 10, Tetrominoes 12, Cleared lines: 0
Epoch: 159/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 160/3000, Score: 11, Tetrominoes 13, Cleared lines: 0
Epoch: 161/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 162/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 163/3000, Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 164/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 165/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 166/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 167/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 168/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 169/3000, Score: 11, Tetrominoes 13, Cleared lines: 0
Epoch: 170/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 171/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 172/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 173/3000, Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 174/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 175/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 176/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 177/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 178/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 179/3000, Score: 29, Tetrominoes 31, Cleared lines: 0
Epoch: 180/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 181/3000, Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 182/3000, Score: 10, Tetrominoes 12, Cleared lines: 0
Epoch: 183/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 184/3000, Score: 9, Tetrominoes 11, Cleared lines: 0
Epoch: 185/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 186/3000, Score: 24, Tetrominoes 26, Cleared lines: 0
Epoch: 187/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 188/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 189/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 190/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 191/3000, Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 192/3000, Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 193/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 194/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 195/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 196/3000, Score: 21, Tetrominoes 23, Cleared lines: 0
Epoch: 197/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 198/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 199/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 200/3000, Score: 11, Tetrominoes 13, Cleared lines: 0
Epoch: 201/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 202/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 203/3000, Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 204/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 205/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 206/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 207/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 208/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 209/3000, Score: 21, Tetrominoes 23, Cleared lines: 0
Epoch: 210/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 211/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 212/3000, Score: 9, Tetrominoes 11, Cleared lines: 0
Epoch: 213/3000, Score: 11, Tetrominoes 13, Cleared lines: 0
Epoch: 214/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
