Starting Training
Epoch: 180/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 181/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 182/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 183/3000, Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 184/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 185/3000, Score: 9, Tetrominoes 11, Cleared lines: 0
Epoch: 186/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 187/3000, Score: 9, Tetrominoes 11, Cleared lines: 0
Epoch: 188/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 189/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 190/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 191/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 192/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 193/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 194/3000, Score: 23, Tetrominoes 25, Cleared lines: 0
Epoch: 195/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 196/3000, Score: 11, Tetrominoes 13, Cleared lines: 0
Epoch: 197/3000, Score: 21, Tetrominoes 23, Cleared lines: 0
Epoch: 198/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 199/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 200/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 201/3000, Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 202/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 203/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 204/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 205/3000, Score: 11, Tetrominoes 13, Cleared lines: 0
Epoch: 206/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 207/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 208/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 209/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 210/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 211/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 212/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 213/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 214/3000, Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 215/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 216/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 217/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 218/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 219/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 220/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 221/3000, Score: 21, Tetrominoes 23, Cleared lines: 0
